Task: move-ego-0-0
  Dimension 0: min=0.5873, max=1.0273, mean=0.9236, std=0.0516
  Dimension 88: min=-0.4234, max=0.8776, mean=-0.1974, std=0.1196
  Dimension 89: min=0.4412, max=0.9820, mean=0.9700, std=0.0480
  Dimension 90: min=-0.4182, max=0.3082, mean=0.0123, std=0.0575
  Dimension 91: min=-0.4748, max=0.9853, mean=0.9570, std=0.1415
  Dimension 92: min=-0.3655, max=0.4613, mean=0.2067, std=0.0624
  Dimension 93: min=-0.9800, max=0.1065, mean=-0.0170, std=0.1315
  Dimension 94: min=-0.4458, max=0.8522, mean=-0.1417, std=0.1141
  Dimension 95: min=0.4994, max=0.9913, mean=0.9808, std=0.0438
  Dimension 96: min=-0.3979, max=0.2604, mean=0.0305, std=0.0450
  Dimension 97: min=-0.0962, max=0.9955, mean=0.9752, std=0.0897
  Dimension 98: min=-0.7278, max=0.4521, mean=0.1418, std=0.1079
  Dimension 99: min=-0.9108, max=0.3474, mean=-0.0123, std=0.0949
  Dimension 100: min=-0.0525, max=0.7333, mean=0.0557, std=0.0635
  Dimension 101: min=0.6360, max=0.9986, mean=0.9943, std=0.0278
  Dimension 102: min=-0.0610, max=0.3220, mean=-0.0416, std=0.0409
  Dimension 103: min=0.3520, max=0.9961, mean=0.9708, std=0.0970
  Dimension 104: min=-0.7440, max=0.0387, mean=-0.0616, std=0.0629
  Dimension 105: min=-0.7410, max=0.9292, mean=-0.0539, std=0.1937
  Dimension 106: min=0.0814, max=0.7814, mean=0.1556, std=0.0581
  Dimension 107: min=0.5834, max=0.9899, mean=0.9820, std=0.0310
  Dimension 108: min=-0.0673, max=0.2810, mean=0.0808, std=0.0263
  Dimension 109: min=-0.5396, max=0.9899, mean=0.9599, std=0.1579
  Dimension 110: min=-0.2184, max=0.5816, mean=-0.1379, std=0.0686
  Dimension 111: min=-0.9540, max=0.0185, mean=-0.0392, std=0.1684
  Dimension 112: min=0.0093, max=0.8007, mean=0.0986, std=0.0827
  Dimension 113: min=0.5986, max=0.9986, mean=0.9907, std=0.0371
  Dimension 114: min=-0.0805, max=0.2370, mean=0.0037, std=0.0221
  Dimension 115: min=-0.3853, max=0.9992, mean=0.9761, std=0.1371
  Dimension 116: min=-0.5609, max=0.2663, mean=-0.0887, std=0.0570
  Dimension 117: min=-0.9821, max=0.2620, mean=-0.0350, std=0.1266
  Dimension 118: min=-0.0121, max=0.7482, mean=0.0292, std=0.0880
  Dimension 119: min=0.6591, max=1.0000, mean=0.9949, std=0.0341
  Dimension 120: min=-0.0981, max=0.2777, mean=-0.0012, std=0.0226
  Dimension 121: min=-0.4015, max=1.0000, mean=0.9836, std=0.1227
  Dimension 122: min=-0.6025, max=0.2233, mean=-0.0221, std=0.0628
  Dimension 123: min=-0.9918, max=0.3361, mean=-0.0201, std=0.1123
  Dimension 124: min=-0.1585, max=0.8313, mean=-0.0258, std=0.1061
  Dimension 125: min=0.5491, max=0.9995, mean=0.9926, std=0.0465
  Dimension 126: min=-0.0996, max=0.1097, mean=0.0182, std=0.0170
  Dimension 127: min=-0.4244, max=0.9996, mean=0.9482, std=0.2231
  Dimension 128: min=-0.0414, max=0.3056, mean=0.0456, std=0.0264
  Dimension 129: min=-0.9964, max=0.0237, mean=-0.1146, std=0.1878
  Dimension 130: min=-0.0692, max=0.8683, mean=0.0059, std=0.1041
  Dimension 131: min=0.4878, max=1.0000, mean=0.9926, std=0.0539
  Dimension 132: min=-0.3392, max=0.0811, mean=0.0050, std=0.0303
  Dimension 133: min=-0.5075, max=1.0000, mean=0.9488, std=0.2301
  Dimension 134: min=-0.0978, max=0.1458, mean=0.0126, std=0.0174
  Dimension 135: min=-0.9981, max=0.0370, mean=-0.0913, std=0.1949
  Dimension 136: min=-0.0490, max=0.9233, mean=0.0031, std=0.1065
  Dimension 137: min=0.3583, max=0.9997, mean=0.9908, std=0.0639
  Dimension 138: min=-0.3926, max=0.1208, mean=-0.0420, std=0.0346
  Dimension 139: min=-0.8038, max=0.9965, mean=0.9389, std=0.2631
  Dimension 140: min=-0.0699, max=0.5293, mean=0.0142, std=0.0477
  Dimension 141: min=-0.9965, max=-0.0840, mean=-0.1487, std=0.1573
  Dimension 142: min=-0.1616, max=0.9419, mean=0.0146, std=0.1178
  Dimension 143: min=0.3183, max=0.9940, mean=0.9701, std=0.0665
  Dimension 144: min=-0.3306, max=0.3459, mean=0.1937, std=0.0535
  Dimension 145: min=-0.6794, max=0.9996, mean=0.9472, std=0.2451
  Dimension 146: min=-0.0174, max=0.4713, mean=0.0084, std=0.0703
  Dimension 147: min=-0.9945, max=0.0728, mean=0.0008, std=0.1943
  Dimension 148: min=-0.1555, max=0.9983, mean=-0.0758, std=0.1588
  Dimension 149: min=0.0223, max=0.9939, mean=0.9730, std=0.1067
  Dimension 150: min=-0.3128, max=0.5928, mean=0.0742, std=0.0731
  Dimension 151: min=-0.5066, max=0.9902, mean=0.9403, std=0.2218
  Dimension 152: min=0.0459, max=0.6278, mean=0.1273, std=0.0733
  Dimension 153: min=-0.9894, max=-0.0636, mean=-0.1456, std=0.1545
  Dimension 154: min=-0.1871, max=0.9720, mean=-0.1466, std=0.1398
  Dimension 155: min=0.1422, max=0.9774, mean=0.8714, std=0.0817
  Dimension 156: min=-0.7976, max=0.1304, mean=-0.4350, std=0.0613
  Dimension 157: min=-0.8270, max=0.9905, mean=0.9317, std=0.2551
  Dimension 158: min=-0.5263, max=0.3622, mean=0.1405, std=0.1028
  Dimension 159: min=-0.9876, max=-0.0701, mean=-0.1113, std=0.1552
  Dimension 160: min=-0.2666, max=0.7791, mean=0.0812, std=0.0700
  Dimension 161: min=0.0382, max=0.9219, mean=0.3715, std=0.0534
  Dimension 162: min=-0.9938, max=0.3648, mean=-0.9143, std=0.1078
  Dimension 163: min=-0.8647, max=0.9529, mean=0.8867, std=0.2261
  Dimension 164: min=-0.9501, max=0.3737, mean=-0.3701, std=0.0901
  Dimension 165: min=-0.9637, max=0.0490, mean=-0.0810, std=0.1050
  Dimension 166: min=-0.4898, max=0.6482, mean=0.4335, std=0.1346
  Dimension 167: min=-0.3358, max=0.8791, mean=0.3287, std=0.0891
  Dimension 168: min=-0.9936, max=-0.1893, mean=-0.8220, std=0.0474
  Dimension 169: min=-0.7544, max=0.8964, mean=0.8469, std=0.2168
  Dimension 170: min=-0.9670, max=-0.2347, mean=-0.2641, std=0.0988
  Dimension 171: min=-0.9666, max=0.5450, mean=0.3762, std=0.1208
  Dimension 172: min=-0.4247, max=0.5993, mean=0.4872, std=0.1250
  Dimension 173: min=-0.4235, max=0.8922, mean=-0.0021, std=0.0856
  Dimension 174: min=-0.9948, max=-0.1539, mean=-0.8588, std=0.0471
  Dimension 175: min=-0.4135, max=0.9970, mean=0.8177, std=0.1183
  Dimension 176: min=-0.9770, max=0.4435, mean=-0.2516, std=0.1104
  Dimension 177: min=-0.9467, max=0.5480, mean=0.4721, std=0.1376
  Dimension 178: min=-0.3992, max=0.7703, mean=0.4909, std=0.0876
  Dimension 179: min=-0.7382, max=0.8869, mean=0.1083, std=0.1216
  Dimension 180: min=-0.9834, max=-0.2324, mean=-0.8495, std=0.0562
  Dimension 181: min=-0.2685, max=0.9172, mean=0.8199, std=0.1030
  Dimension 182: min=-0.9469, max=0.6544, mean=-0.3157, std=0.1487
  Dimension 183: min=-0.9301, max=0.5352, mean=0.4294, std=0.1045
  Dimension 184: min=-0.2439, max=0.8580, mean=0.1304, std=0.0935
  Dimension 185: min=0.4685, max=0.9927, mean=0.9186, std=0.0427
  Dimension 186: min=0.1008, max=0.4743, mean=0.3567, std=0.0363
  Dimension 187: min=-0.6596, max=0.9891, mean=0.9342, std=0.2346
  Dimension 188: min=-0.0817, max=0.6124, mean=-0.0447, std=0.1084
  Dimension 189: min=-0.9902, max=-0.1305, mean=-0.1967, std=0.1406
  Dimension 190: min=-0.2467, max=0.7977, mean=-0.0424, std=0.1286
  Dimension 191: min=0.1457, max=0.9840, mean=0.5263, std=0.0519
  Dimension 192: min=0.1715, max=0.9061, mean=0.8355, std=0.0626
  Dimension 193: min=-0.1509, max=0.9778, mean=0.9370, std=0.1689
  Dimension 194: min=0.0791, max=0.9704, mean=0.2356, std=0.1267
  Dimension 195: min=-0.9819, max=-0.0450, mean=-0.0831, std=0.1227
  Dimension 196: min=-0.7026, max=0.6562, mean=-0.4868, std=0.1797
  Dimension 197: min=-0.1661, max=0.6164, mean=0.0287, std=0.0461
  Dimension 198: min=0.6100, max=0.9955, mean=0.8525, std=0.0307
  Dimension 199: min=-0.0455, max=0.8982, mean=0.7760, std=0.0972
  Dimension 200: min=0.3626, max=0.9561, mean=0.4025, std=0.0933
  Dimension 201: min=-0.6915, max=0.5144, mean=0.4424, std=0.1483
  Dimension 202: min=-0.6795, max=0.6528, mean=-0.4254, std=0.1703
  Dimension 203: min=-0.2825, max=0.6567, mean=-0.2064, std=0.0919
  Dimension 204: min=0.5856, max=0.9990, mean=0.8589, std=0.0355
  Dimension 205: min=0.2218, max=0.9986, mean=0.6512, std=0.0576
  Dimension 206: min=-0.2303, max=0.6051, mean=0.5613, std=0.1197
  Dimension 207: min=-0.8019, max=0.6581, mean=0.4588, std=0.1810
  Dimension 208: min=-0.6650, max=0.6304, mean=-0.4169, std=0.1550
  Dimension 209: min=-0.4566, max=0.5857, mean=-0.2328, std=0.0576
  Dimension 210: min=0.5459, max=0.9864, mean=0.8623, std=0.0325
  Dimension 211: min=0.1951, max=0.9874, mean=0.7427, std=0.0574
  Dimension 212: min=-0.2074, max=0.6242, mean=0.4308, std=0.0920
  Dimension 213: min=-0.8090, max=0.6869, mean=0.4705, std=0.1724
  Dimension 214: min=-0.4754, max=0.9700, mean=0.0124, std=0.1650
  Dimension 215: min=-0.2111, max=0.3420, mean=0.0025, std=0.0358
  Dimension 216: min=-2.6712, max=1.4326, mean=-0.0112, std=0.3578
  Dimension 217: min=-0.8518, max=1.5715, mean=0.0155, std=0.2096
  Dimension 218: min=-0.2879, max=0.3178, mean=0.0007, std=0.0422
  Dimension 219: min=-3.2232, max=1.4057, mean=-0.0207, std=0.3975
  Dimension 220: min=-1.1919, max=2.9336, mean=0.0360, std=0.3428
  Dimension 221: min=-3.3580, max=0.8192, mean=-0.0307, std=0.2856
  Dimension 222: min=-2.0852, max=0.5190, mean=-0.0318, std=0.2570
  Dimension 223: min=-1.3805, max=4.3175, mean=0.0528, std=0.4396
  Dimension 224: min=-4.2439, max=1.1286, mean=-0.0476, std=0.4164
  Dimension 225: min=-4.0642, max=1.4284, mean=-0.0879, std=0.5402
  Dimension 226: min=-0.7302, max=5.1519, mean=0.0726, std=0.5154
  Dimension 227: min=-4.3952, max=1.1515, mean=-0.0537, std=0.4341
  Dimension 228: min=-3.7143, max=1.1105, mean=-0.0813, std=0.4917
  Dimension 229: min=-0.4434, max=1.6367, mean=0.0207, std=0.2027
  Dimension 230: min=-0.4162, max=0.3677, mean=-0.0032, std=0.0430
  Dimension 231: min=-3.0108, max=1.4859, mean=-0.0200, std=0.3896
  Dimension 232: min=-2.7997, max=4.6710, mean=0.0350, std=0.4870
  Dimension 233: min=-2.9922, max=0.2386, mean=-0.0429, std=0.2814
  Dimension 234: min=-4.9155, max=1.2114, mean=-0.0332, std=0.4336
  Dimension 235: min=-0.2635, max=3.7337, mean=0.0574, std=0.3875
  Dimension 236: min=-3.6471, max=0.4143, mean=-0.0605, std=0.3973
  Dimension 237: min=-5.9838, max=1.2356, mean=-0.0893, std=0.7221
  Dimension 238: min=-0.0861, max=5.2119, mean=0.0707, std=0.4711
  Dimension 239: min=-5.2704, max=0.6323, mean=-0.0774, std=0.5456
  Dimension 240: min=-5.4387, max=2.0602, mean=-0.0775, std=0.6601
  Dimension 241: min=-0.8527, max=0.8393, mean=0.0024, std=0.1500
  Dimension 242: min=-0.1791, max=0.5966, mean=0.0076, std=0.0588
  Dimension 243: min=-2.2350, max=1.4232, mean=-0.0034, std=0.3270
  Dimension 244: min=-0.6380, max=0.3553, mean=-0.0052, std=0.0867
  Dimension 245: min=-0.1737, max=0.7830, mean=0.0131, std=0.0923
  Dimension 246: min=-1.8816, max=1.7894, mean=0.0115, std=0.3305
  Dimension 247: min=-0.4602, max=0.2840, mean=-0.0058, std=0.0718
  Dimension 248: min=-0.2057, max=0.9349, mean=0.0158, std=0.1043
  Dimension 249: min=-1.9732, max=2.0178, mean=0.0192, std=0.3578
  Dimension 250: min=-1.0341, max=0.5143, mean=-0.0246, std=0.1436
  Dimension 251: min=-0.2222, max=1.3949, mean=0.0269, std=0.1671
  Dimension 252: min=-2.7156, max=2.6103, mean=0.0360, std=0.5000
  Dimension 253: min=-1.0167, max=1.0547, mean=-0.0259, std=0.1876
  Dimension 254: min=-0.1343, max=1.6976, mean=0.0304, std=0.1960
  Dimension 255: min=-2.7773, max=3.2740, mean=0.0476, std=0.5744
  Dimension 256: min=-0.7363, max=0.4772, mean=-0.0204, std=0.0974
  Dimension 257: min=-0.1160, max=1.4080, mean=0.0246, std=0.1563
  Dimension 258: min=-2.8432, max=2.1988, mean=0.0260, std=0.4362
  Dimension 259: min=-0.9401, max=0.9592, mean=-0.0290, std=0.1433
  Dimension 260: min=-0.0985, max=1.6231, mean=0.0299, std=0.1914
  Dimension 261: min=-3.4600, max=2.1968, mean=0.0221, std=0.4962
  Dimension 262: min=-3.6541, max=2.4948, mean=-0.0464, std=0.3529
  Dimension 263: min=-0.7004, max=2.7342, mean=0.0296, std=0.2609
  Dimension 264: min=-7.2057, max=2.1803, mean=-0.0136, std=0.7360
  Dimension 265: min=-5.5317, max=2.5565, mean=-0.0574, std=0.4977
  Dimension 266: min=-4.8110, max=4.3353, mean=0.0087, std=0.5514
  Dimension 267: min=-7.9999, max=2.3732, mean=-0.0250, std=0.8317
  Dimension 268: min=-7.2086, max=2.3339, mean=-0.0620, std=0.5779
  Dimension 269: min=-6.3893, max=4.7213, mean=-0.0006, std=0.6460
  Dimension 270: min=-9.6554, max=2.4124, mean=-0.0329, std=0.9026
  Dimension 271: min=-0.6719, max=0.4185, mean=-0.0146, std=0.0895
  Dimension 272: min=-0.1165, max=0.9656, mean=0.0190, std=0.1132
  Dimension 273: min=-2.1625, max=2.2022, mean=0.0288, std=0.4087
  Dimension 274: min=-0.7289, max=1.0410, mean=-0.0144, std=0.1135
  Dimension 275: min=-0.1727, max=1.0219, mean=0.0185, std=0.1139
  Dimension 276: min=-2.4544, max=2.3745, mean=0.0285, std=0.4398
  Dimension 277: min=-1.1022, max=0.9770, mean=0.0009, std=0.1464
  Dimension 278: min=-0.3417, max=1.6072, mean=0.0304, std=0.1887
  Dimension 279: min=-3.8498, max=2.4595, mean=0.0085, std=0.4890
  Dimension 280: min=-1.9375, max=3.8546, mean=0.0245, std=0.3958
  Dimension 281: min=-0.5975, max=3.1945, mean=0.0480, std=0.3126
  Dimension 282: min=-3.7055, max=2.9788, mean=0.0039, std=0.5352
  Dimension 283: min=-2.5311, max=5.3713, mean=0.0318, std=0.5147
  Dimension 284: min=-0.6458, max=3.9176, mean=0.0555, std=0.3806
  Dimension 285: min=-3.6109, max=3.1112, mean=0.0002, std=0.5625
  Dimension 286: min=-4.5248, max=4.3704, mean=-0.0414, std=0.4697
  Dimension 287: min=-7.2630, max=1.1499, mean=-0.1501, std=0.8499
  Dimension 288: min=-4.0564, max=3.2511, mean=0.0229, std=0.4665
  Dimension 289: min=-6.0818, max=3.0773, mean=-0.0707, std=0.6511
  Dimension 290: min=-11.9589, max=4.1719, mean=-0.1145, std=1.6183
  Dimension 291: min=-10.2585, max=2.4659, mean=-0.0647, std=0.7786
  Dimension 292: min=-6.8116, max=4.5440, mean=-0.0352, std=0.6719
  Dimension 293: min=-9.7349, max=5.2484, mean=-0.2394, std=1.3272
  Dimension 294: min=-12.1694, max=9.4735, mean=0.0052, std=1.1206
  Dimension 295: min=-4.8493, max=1.9079, mean=-0.0587, std=0.4717
  Dimension 296: min=-11.6043, max=6.1760, mean=-0.2202, std=1.5096
  Dimension 297: min=-5.5193, max=6.7645, mean=0.0309, std=0.6958
  Dimension 298: min=-8.4168, max=2.1607, mean=-0.0998, std=0.8168
  Dimension 299: min=-12.0045, max=2.3524, mean=-0.1940, std=1.4176
  Dimension 300: min=-3.1651, max=6.6700, mean=0.0430, std=0.7131
  Dimension 301: min=-9.5449, max=0.9897, mean=-0.1272, std=0.9292
  Dimension 302: min=-14.0170, max=8.6556, mean=-0.0518, std=1.7155
  Dimension 303: min=-6.2200, max=4.7091, mean=0.0295, std=0.5618
  Dimension 304: min=-12.0511, max=4.9729, mean=-0.0987, std=1.0718
  Dimension 305: min=-14.7716, max=10.4485, mean=-0.1757, std=1.7779
  Dimension 306: min=-3.4836, max=6.3915, mean=0.0131, std=0.6257
  Dimension 307: min=-13.2807, max=1.2682, mean=-0.1432, std=1.1755
  Dimension 308: min=-13.8080, max=8.6027, mean=-0.1652, std=1.7178
  Dimension 309: min=-3.5098, max=5.2096, mean=0.0455, std=0.6177
  Dimension 310: min=-17.8718, max=5.6234, mean=-0.1379, std=1.3233
  Dimension 311: min=-17.8241, max=8.5433, mean=-0.1771, std=1.7758
  Dimension 312: min=-3.5559, max=5.5612, mean=0.0465, std=0.5780
  Dimension 313: min=-4.2336, max=4.3188, mean=0.0256, std=0.4395
  Dimension 314: min=-6.7610, max=4.8044, mean=-0.1652, std=1.0243
  Dimension 315: min=-0.9630, max=3.3147, mean=0.0610, std=0.4004
  Dimension 316: min=-1.4759, max=3.3639, mean=0.0319, std=0.3400
  Dimension 317: min=-6.6325, max=4.5664, mean=-0.1479, std=1.0512
  Dimension 318: min=-1.4137, max=3.9175, mean=0.0581, std=0.4323
  Dimension 319: min=-1.5503, max=6.0637, mean=0.0627, std=0.5523
  Dimension 320: min=-8.8175, max=7.0907, mean=-0.1514, std=1.4421
  Dimension 321: min=-2.7633, max=6.1549, mean=0.0515, std=0.5507
  Dimension 322: min=-2.3047, max=4.3853, mean=0.0730, std=0.5336
  Dimension 323: min=-9.6550, max=7.7100, mean=-0.1694, std=1.4651
  Dimension 324: min=-2.6157, max=2.6707, mean=-0.0089, std=0.3587
  Dimension 325: min=-2.5653, max=6.0286, mean=0.0497, std=0.7455
  Dimension 326: min=-10.8956, max=8.5641, mean=-0.1645, std=1.6351
  Dimension 327: min=-6.6671, max=3.9133, mean=-0.0395, std=0.6854
  Dimension 328: min=-1.5347, max=3.2815, mean=0.0156, std=0.4025
  Dimension 329: min=-7.4438, max=10.0426, mean=-0.0784, std=1.3820
  Dimension 330: min=-3.4459, max=6.8719, mean=0.1465, std=0.8655
  Dimension 331: min=-9.8878, max=7.5124, mean=-0.0598, std=1.1936
  Dimension 332: min=-6.9694, max=17.4980, mean=0.0732, std=1.6231
  Dimension 333: min=-1.5101, max=7.6031, mean=0.1286, std=0.7214
  Dimension 334: min=-24.7743, max=9.8439, mean=-0.1398, std=2.1144
  Dimension 335: min=-7.7268, max=20.4085, mean=0.0344, std=1.6493
  Dimension 336: min=-0.7666, max=8.9615, mean=0.1912, std=0.9434
  Dimension 337: min=-22.5684, max=7.2736, mean=-0.0921, std=1.8358
  Dimension 338: min=-5.0153, max=18.0240, mean=0.0760, std=1.5146
  Dimension 339: min=-10.5086, max=15.8748, mean=0.1440, std=1.8516
  Dimension 340: min=-25.9873, max=7.4775, mean=-0.1382, std=2.2038
  Dimension 341: min=-4.2559, max=14.1818, mean=0.1172, std=1.3146
  Dimension 342: min=-9.1794, max=14.0961, mean=0.1316, std=1.7122
  Dimension 343: min=-0.6670, max=6.9891, mean=0.0867, std=0.6378
  Dimension 344: min=-7.8494, max=5.1882, mean=-0.1622, std=1.2357
  Dimension 345: min=-5.7558, max=6.5671, mean=-0.0310, std=0.7015
  Dimension 346: min=-5.7061, max=9.7274, mean=0.0737, std=1.0129
  Dimension 347: min=-7.3321, max=7.2698, mean=-0.1537, std=1.1590
  Dimension 348: min=-6.2162, max=4.4867, mean=-0.0713, std=0.7142
  Dimension 349: min=-6.2119, max=15.9263, mean=0.1220, std=1.1830
  Dimension 350: min=-20.4255, max=8.5601, mean=-0.0951, std=1.7372
  Dimension 351: min=-9.5692, max=5.8701, mean=-0.0799, std=0.9273
  Dimension 352: min=-7.8629, max=13.2263, mean=0.0320, std=1.1585
  Dimension 353: min=-20.6612, max=5.5944, mean=-0.1350, std=1.7464
  Dimension 354: min=-8.8812, max=4.8887, mean=-0.0266, std=0.9899
  Dimension 355: min=-3.5316, max=13.5690, mean=0.0463, std=0.9997
  Dimension 356: min=-25.9422, max=7.0185, mean=-0.1449, std=2.0312
  Dimension 357: min=-9.3964, max=4.4871, mean=-0.0854, std=1.1143

Task: move-ego-low-0-0
  Dimension 0: min=0.3435, max=0.9400, mean=0.3827, std=0.0799
  Dimension 1: min=-0.0708, max=0.0199, mean=-0.0427, std=0.0200
  Dimension 2: min=0.0660, max=0.0927, mean=0.0867, std=0.0077
  Dimension 3: min=-0.0934, max=-0.0464, mean=-0.0568, std=0.0141
